order_id,order_date,customer_id,customer_name,product_id,product_name,category,quantity,unit_price,discount,order_status
DH00001,2026-05-01,C004,Khach hang 004,P006,Den ban mini,Gia dung,1,220000,0,completed
DH00002,2026-05-01,C022,Khach hang 022,P005,Tui tote,Phu kien,1,90000,0,completed
DH00003,2026-05-01,C008,Khach hang 008,P005,Tui tote,Phu kien,1,90000,20000,completed
DH00004,2026-05-01,C014,Khach hang 014,P004,Tai nghe Bluetooth,Dien tu,2,490000,0,completed
DH00005,2026-05-01,C025,Khach hang 025,P006,Den ban mini,Gia dung,1,220000,0,completed
DH00006,2026-05-01,C025,Khach hang 025,P001,Ao thun basic,Thoi trang,1,150000,0,completed
DH00007,2026-05-01,C020,Khach hang 020,P001,Ao thun basic,Thoi trang,1,150000,10000,completed
DH00008,2026-05-02,C018,Khach hang 018,P006,Den ban mini,Gia dung,2,220000,20000,completed
DH00009,2026-05-02,C007,Khach hang 007,P001,Ao thun basic,Thoi trang,2,150000,0,completed
DH00010,2026-05-03,C028,Khach hang 028,P004,Tai nghe Bluetooth,Dien tu,1,490000,0,completed
DH00011,2026-05-03,C006,Khach hang 006,P003,Binh nuoc,Gia dung,1,120000,0,completed
DH00012,2026-05-03,C020,Khach hang 020,P005,Tui tote,Phu kien,1,90000,10000,completed
DH00013,2026-05-04,C030,Khach hang 030,P006,Den ban mini,Gia dung,2,220000,0,completed
DH00014,2026-05-04,C008,Khach hang 008,P003,Binh nuoc,Gia dung,1,120000,20000,completed
DH00015,2026-05-04,C029,Khach hang 029,P002,Quan jean,Thoi trang,1,350000,10000,completed
DH00016,2026-05-04,C005,Khach hang 005,P002,Quan jean,Thoi trang,1,350000,0,completed
DH00017,2026-05-05,C019,Khach hang 019,P005,Tui tote,Phu kien,3,90000,0,completed
DH00017,2026-05-05,C019,Khach hang 019,P004,Tai nghe Bluetooth,Dien tu,1,490000,0,completed
DH00018,2026-05-05,C025,Khach hang 025,P001,Ao thun basic,Thoi trang,1,150000,10000,completed
DH00019,2026-05-05,C020,Khach hang 020,P004,Tai nghe Bluetooth,Dien tu,3,490000,20000,completed
DH00020,2026-05-05,C009,Khach hang 009,P006,Den ban mini,Gia dung,2,220000,20000,completed
DH00021,2026-05-05,C025,Khach hang 025,P006,Den ban mini,Gia dung,1,220000,0,completed
DH00022,2026-05-05,C015,Khach hang 015,P006,Den ban mini,Gia dung,1,220000,20000,completed
DH00023,2026-05-05,C025,Khach hang 025,P005,Tui tote,Phu kien,2,90000,0,cancelled
DH00024,2026-05-06,C017,Khach hang 017,P002,Quan jean,Thoi trang,1,350000,20000,completed
DH00025,2026-05-06,C030,Khach hang 030,P005,Tui tote,Phu kien,1,90000,0,completed
DH00026,2026-05-06,C029,Khach hang 029,P002,Quan jean,Thoi trang,2,350000,0,completed
DH00027,2026-05-06,C003,Khach hang 003,P001,Ao thun basic,Thoi trang,1,150000,10000,completed
DH00027,2026-05-06,C003,Khach hang 003,P005,Tui tote,Phu kien,3,90000,0,completed
DH00028,2026-05-06,C009,Khach hang 009,P002,Quan jean,Thoi trang,2,350000,0,completed
DH00028,2026-05-06,C009,Khach hang 009,P005,Tui tote,Phu kien,1,90000,0,completed
DH00029,2026-05-06,C015,Khach hang 015,P001,Ao thun basic,Thoi trang,1,150000,20000,completed
DH00029,2026-05-06,C015,Khach hang 015,P002,Quan jean,Thoi trang,1,350000,20000,completed
DH00030,2026-05-06,C008,Khach hang 008,P001,Ao thun basic,Thoi trang,1,150000,0,completed
DH00031,2026-05-07,C028,Khach hang 028,P001,Ao thun basic,Thoi trang,1,150000,10000,completed
DH00032,2026-05-07,C007,Khach hang 007,P006,Den ban mini,Gia dung,1,220000,10000,cancelled
DH00033,2026-05-08,C026,Khach hang 026,P004,Tai nghe Bluetooth,Dien tu,2,490000,0,completed
DH00033,2026-05-08,C026,Khach hang 026,P002,Quan jean,Thoi trang,1,350000,10000,completed
DH00034,2026-05-08,C028,Khach hang 028,P006,Den ban mini,Gia dung,1,220000,0,completed
DH00035,2026-05-08,C013,Khach hang 013,P001,Ao thun basic,Thoi trang,1,150000,10000,completed
DH00036,2026-05-09,C014,Khach hang 014,P003,Binh nuoc,Gia dung,2,120000,0,completed
DH00037,2026-05-09,C015,Khach hang 015,P001,Ao thun basic,Thoi trang,1,150000,0,completed
DH00038,2026-05-09,C003,Khach hang 003,P002,Quan jean,Thoi trang,1,350000,10000,completed
DH00039,2026-05-10,C006,Khach hang 006,P001,Ao thun basic,Thoi trang,2,150000,10000,completed
DH00039,2026-05-10,C006,Khach hang 006,P004,Tai nghe Bluetooth,Dien tu,1,490000,20000,completed
DH00040,2026-05-10,C022,Khach hang 022,P002,Quan jean,Thoi trang,3,350000,20000,completed
DH00040,2026-05-10,C022,Khach hang 022,P006,Den ban mini,Gia dung,2,220000,0,completed
DH00041,2026-05-11,C011,Khach hang 011,P001,Ao thun basic,Thoi trang,1,150000,20000,completed
DH00042,2026-05-11,C006,Khach hang 006,P005,Tui tote,Phu kien,1,90000,20000,completed
DH00043,2026-05-11,C003,Khach hang 003,P004,Tai nghe Bluetooth,Dien tu,2,490000,0,completed
DH00044,2026-05-11,C019,Khach hang 019,P005,Tui tote,Phu kien,2,90000,20000,completed
DH00045,2026-05-11,C017,Khach hang 017,P003,Binh nuoc,Gia dung,2,120000,0,completed
DH00046,2026-05-11,C009,Khach hang 009,P002,Quan jean,Thoi trang,2,350000,0,completed
DH00046,2026-05-11,C009,Khach hang 009,P003,Binh nuoc,Gia dung,1,120000,20000,completed
DH00047,2026-05-11,C019,Khach hang 019,P001,Ao thun basic,Thoi trang,1,150000,0,completed
DH00048,2026-05-12,C029,Khach hang 029,P002,Quan jean,Thoi trang,1,350000,20000,completed
DH00049,2026-05-12,C023,Khach hang 023,P005,Tui tote,Phu kien,2,90000,20000,returned
DH00050,2026-05-12,C001,Khach hang 001,P006,Den ban mini,Gia dung,2,220000,0,completed
DH00051,2026-05-12,C004,Khach hang 004,P006,Den ban mini,Gia dung,1,220000,20000,completed
DH00052,2026-05-13,C023,Khach hang 023,P002,Quan jean,Thoi trang,2,350000,20000,completed
DH00053,2026-05-13,C016,Khach hang 016,P001,Ao thun basic,Thoi trang,1,150000,0,completed
DH00054,2026-05-13,C002,Khach hang 002,P003,Binh nuoc,Gia dung,1,120000,0,completed
DH00055,2026-05-14,C024,Khach hang 024,P005,Tui tote,Phu kien,1,90000,0,completed
DH00055,2026-05-14,C024,Khach hang 024,P004,Tai nghe Bluetooth,Dien tu,1,490000,0,completed
DH00056,2026-05-14,C019,Khach hang 019,P004,Tai nghe Bluetooth,Dien tu,1,490000,0,completed
DH00057,2026-05-14,C029,Khach hang 029,P002,Quan jean,Thoi trang,2,350000,0,completed
DH00058,2026-05-15,C029,Khach hang 029,P005,Tui tote,Phu kien,1,90000,0,cancelled
DH00058,2026-05-15,C029,Khach hang 029,P002,Quan jean,Thoi trang,3,350000,0,cancelled
DH00059,2026-05-15,C029,Khach hang 029,P001,Ao thun basic,Thoi trang,1,150000,10000,completed
DH00059,2026-05-15,C029,Khach hang 029,P002,Quan jean,Thoi trang,2,350000,0,completed
DH00060,2026-05-15,C009,Khach hang 009,P006,Den ban mini,Gia dung,2,220000,10000,completed
DH00061,2026-05-15,C008,Khach hang 008,P004,Tai nghe Bluetooth,Dien tu,2,490000,0,completed
DH00062,2026-05-15,C008,Khach hang 008,P006,Den ban mini,Gia dung,1,220000,0,completed
DH00063,2026-05-15,C025,Khach hang 025,P003,Binh nuoc,Gia dung,1,120000,20000,completed
DH00064,2026-05-16,C001,Khach hang 001,P003,Binh nuoc,Gia dung,3,120000,0,completed
DH00065,2026-05-16,C002,Khach hang 002,P005,Tui tote,Phu kien,2,90000,0,completed
DH00066,2026-05-16,C014,Khach hang 014,P004,Tai nghe Bluetooth,Dien tu,1,490000,0,cancelled
DH00067,2026-05-16,C023,Khach hang 023,P001,Ao thun basic,Thoi trang,1,150000,0,cancelled
DH00067,2026-05-16,C023,Khach hang 023,P005,Tui tote,Phu kien,1,90000,0,cancelled
DH00068,2026-05-17,C030,Khach hang 030,P005,Tui tote,Phu kien,2,90000,0,completed
DH00069,2026-05-17,C017,Khach hang 017,P006,Den ban mini,Gia dung,1,220000,0,completed
