order_id,order_date,customer_id,customer_name,product_id,product_name,category,quantity,unit_price,discount,order_status
CH0001,2026-01-05,CH-C001,Khach hang CH-C001,CH-P001,San pham cohort,Danh muc synthetic,1,100000,0,completed
CH0002,2026-01-05,CH-C002,Khach hang CH-C002,CH-P001,San pham cohort,Danh muc synthetic,1,100000,0,completed
CH0003,2026-01-05,CH-C003,Khach hang CH-C003,CH-P001,San pham cohort,Danh muc synthetic,1,100000,0,completed
CH0004,2026-01-05,CH-C004,Khach hang CH-C004,CH-P001,San pham cohort,Danh muc synthetic,1,100000,0,completed
CH0005,2026-01-05,CH-C005,Khach hang CH-C005,CH-P001,San pham cohort,Danh muc synthetic,1,100000,0,completed
CH0006,2026-01-05,CH-C006,Khach hang CH-C006,CH-P001,San pham cohort,Danh muc synthetic,1,100000,0,completed
CH0007,2026-01-05,CH-C007,Khach hang CH-C007,CH-P001,San pham cohort,Danh muc synthetic,1,100000,0,completed
CH0008,2026-01-05,CH-C008,Khach hang CH-C008,CH-P001,San pham cohort,Danh muc synthetic,1,100000,0,completed
CH0009,2026-01-05,CH-C009,Khach hang CH-C009,CH-P001,San pham cohort,Danh muc synthetic,1,100000,0,completed
CH0010,2026-01-05,CH-C010,Khach hang CH-C010,CH-P001,San pham cohort,Danh muc synthetic,1,100000,0,completed
CH0011,2026-02-05,CH-C001,Khach hang CH-C001,CH-P001,San pham cohort,Danh muc synthetic,1,100000,0,completed
CH0012,2026-02-05,CH-C002,Khach hang CH-C002,CH-P001,San pham cohort,Danh muc synthetic,1,100000,0,completed
CH0013,2026-02-05,CH-C003,Khach hang CH-C003,CH-P001,San pham cohort,Danh muc synthetic,1,100000,0,completed
CH0014,2026-02-05,CH-C004,Khach hang CH-C004,CH-P001,San pham cohort,Danh muc synthetic,1,100000,0,completed
CH0015,2026-02-05,CH-C005,Khach hang CH-C005,CH-P001,San pham cohort,Danh muc synthetic,1,100000,0,completed
CH0016,2026-02-05,CH-C006,Khach hang CH-C006,CH-P001,San pham cohort,Danh muc synthetic,1,100000,0,completed
CH0017,2026-03-05,CH-C001,Khach hang CH-C001,CH-P001,San pham cohort,Danh muc synthetic,1,100000,0,completed
CH0018,2026-03-05,CH-C002,Khach hang CH-C002,CH-P001,San pham cohort,Danh muc synthetic,1,100000,0,completed
CH0019,2026-03-05,CH-C003,Khach hang CH-C003,CH-P001,San pham cohort,Danh muc synthetic,1,100000,0,completed
CH0020,2026-03-05,CH-C004,Khach hang CH-C004,CH-P001,San pham cohort,Danh muc synthetic,1,100000,0,completed
CH0021,2026-04-05,CH-C001,Khach hang CH-C001,CH-P001,San pham cohort,Danh muc synthetic,1,100000,0,completed
CH0022,2026-04-05,CH-C002,Khach hang CH-C002,CH-P001,San pham cohort,Danh muc synthetic,1,100000,0,completed
CH0023,2026-05-05,CH-C001,Khach hang CH-C001,CH-P001,San pham cohort,Danh muc synthetic,1,100000,0,completed
