order_id,order_date,customer_id,customer_name,product_id,product_name,category,quantity,unit_price,discount,order_status
WF0001,2026-01-01,WF-C001,Khach hang WF-C001,WF-P001,San pham forecast,Danh muc synthetic,1,135000,0,completed
WF0002,2026-01-02,WF-C002,Khach hang WF-C002,WF-P001,San pham forecast,Danh muc synthetic,1,170000,0,completed
WF0003,2026-01-03,WF-C003,Khach hang WF-C003,WF-P001,San pham forecast,Danh muc synthetic,1,250000,0,completed
WF0004,2026-01-04,WF-C004,Khach hang WF-C004,WF-P001,San pham forecast,Danh muc synthetic,1,220000,0,completed
WF0005,2026-01-05,WF-C005,Khach hang WF-C005,WF-P001,San pham forecast,Danh muc synthetic,1,100000,0,completed
WF0006,2026-01-06,WF-C006,Khach hang WF-C006,WF-P001,San pham forecast,Danh muc synthetic,1,115000,0,completed
WF0007,2026-01-07,WF-C007,Khach hang WF-C007,WF-P001,San pham forecast,Danh muc synthetic,1,120000,0,completed
WF0008,2026-01-08,WF-C008,Khach hang WF-C008,WF-P001,San pham forecast,Danh muc synthetic,1,135000,0,completed
WF0009,2026-01-09,WF-C009,Khach hang WF-C009,WF-P001,San pham forecast,Danh muc synthetic,1,170000,0,completed
WF0010,2026-01-10,WF-C010,Khach hang WF-C010,WF-P001,San pham forecast,Danh muc synthetic,1,250000,0,completed
WF0011,2026-01-11,WF-C011,Khach hang WF-C011,WF-P001,San pham forecast,Danh muc synthetic,1,220000,0,completed
WF0012,2026-01-12,WF-C012,Khach hang WF-C012,WF-P001,San pham forecast,Danh muc synthetic,1,100000,0,completed
WF0013,2026-01-13,WF-C013,Khach hang WF-C013,WF-P001,San pham forecast,Danh muc synthetic,1,115000,0,completed
WF0014,2026-01-14,WF-C014,Khach hang WF-C014,WF-P001,San pham forecast,Danh muc synthetic,1,120000,0,completed
WF0015,2026-01-15,WF-C015,Khach hang WF-C015,WF-P001,San pham forecast,Danh muc synthetic,1,135000,0,completed
WF0016,2026-01-16,WF-C016,Khach hang WF-C016,WF-P001,San pham forecast,Danh muc synthetic,1,170000,0,completed
WF0017,2026-01-17,WF-C017,Khach hang WF-C017,WF-P001,San pham forecast,Danh muc synthetic,1,250000,0,completed
WF0018,2026-01-18,WF-C018,Khach hang WF-C018,WF-P001,San pham forecast,Danh muc synthetic,1,220000,0,completed
WF0019,2026-01-19,WF-C019,Khach hang WF-C019,WF-P001,San pham forecast,Danh muc synthetic,1,100000,0,completed
WF0020,2026-01-20,WF-C020,Khach hang WF-C020,WF-P001,San pham forecast,Danh muc synthetic,1,115000,0,completed
WF0021,2026-01-21,WF-C001,Khach hang WF-C001,WF-P001,San pham forecast,Danh muc synthetic,1,120000,0,completed
WF0022,2026-01-22,WF-C002,Khach hang WF-C002,WF-P001,San pham forecast,Danh muc synthetic,1,135000,0,completed
WF0023,2026-01-23,WF-C003,Khach hang WF-C003,WF-P001,San pham forecast,Danh muc synthetic,1,170000,0,completed
