order_id,order_date,customer_id,customer_name,product_id,product_name,category,quantity,unit_price,discount,order_status
DS000001,2025-07-01,C0014,Khach hang synthetic 0014,P001,Ao thun basic,Thoi trang,1,159000,0,completed
DS000002,2025-07-01,C0021,Khach hang synthetic 0021,P007,Kinh mat thoi trang,Phu kien,1,259000,0,completed
DS000002,2025-07-01,C0021,Khach hang synthetic 0021,P004,Vay midi,Thoi trang,2,429000,42000,completed
DS000003,2025-07-01,C0047,Khach hang synthetic 0047,P005,Tui tote canvas,Phu kien,1,119000,0,completed
DS000004,2025-07-01,C0069,Khach hang synthetic 0069,P019,Tra trai cay,Thuc pham,1,139000,0,completed
DS000005,2025-07-01,C0090,Khach hang synthetic 0090,P017,Ca phe rang xay,Thuc pham,1,189000,0,completed
DS000006,2025-07-01,C0098,Khach hang synthetic 0098,P007,Kinh mat thoi trang,Phu kien,1,259000,0,completed
DS000006,2025-07-01,C0098,Khach hang synthetic 0098,P011,Tai nghe Bluetooth,Dien tu,1,549000,0,completed
DS000007,2025-07-01,C0106,Khach hang synthetic 0106,P009,Op lung dien thoai,Dien tu,2,149000,0,completed
DS000008,2025-07-01,C0134,Khach hang synthetic 0134,P012,Loa mini,Dien tu,1,479000,0,completed
DS000008,2025-07-01,C0134,Khach hang synthetic 0134,P022,But gel,Van phong,1,39000,0,completed
DS000008,2025-07-01,C0134,Khach hang synthetic 0134,P013,Den ban LED,Gia dung,2,329000,0,completed
DS000008,2025-07-01,C0134,Khach hang synthetic 0134,P010,Cap sac nhanh,Dien tu,2,179000,0,completed
DS000009,2025-07-01,C0159,Khach hang synthetic 0159,P006,Mu luoi trai,Phu kien,1,139000,0,completed
DS000010,2025-07-01,C0188,Khach hang synthetic 0188,P006,Mu luoi trai,Phu kien,1,139000,6000,completed
DS000010,2025-07-01,C0188,Khach hang synthetic 0188,P011,Tai nghe Bluetooth,Dien tu,1,549000,0,completed
DS000010,2025-07-01,C0188,Khach hang synthetic 0188,P003,Ao khoac nhe,Thoi trang,3,449000,0,completed
DS000010,2025-07-01,C0188,Khach hang synthetic 0188,P014,Hop dung do,Gia dung,2,169000,0,completed
DS000011,2025-07-01,C0205,Khach hang synthetic 0205,P015,Binh nuoc giu nhiet,Gia dung,1,249000,0,completed
DS000011,2025-07-01,C0205,Khach hang synthetic 0205,P009,Op lung dien thoai,Dien tu,1,149000,0,completed
DS000011,2025-07-01,C0205,Khach hang synthetic 0205,P008,Vi mini,Phu kien,1,189000,0,completed
