order_id,order_date,customer_id,customer_name,product_id,product_name,category,quantity,unit_price,discount,order_status
R60O00001,2026-05-01,R60C001,Khach hang regression 001,R60P003,Binh nuoc giu nhiet,Gia dung,1,249000,0,completed
R60O00002,2026-05-01,R60C001,Khach hang regression 001,R60P001,Ao thun co ban,Thoi trang,1,159000,7000,completed
R60O00002,2026-05-01,R60C001,Khach hang regression 001,R60P002,Quan jean,Thoi trang,2,389000,0,completed
R60O00003,2026-05-01,R60C001,Khach hang regression 001,R60P004,Tai nghe Bluetooth,Dien tu,1,549000,27000,completed
R60O00004,2026-05-01,R60C001,Khach hang regression 001,R60P002,Quan jean,Thoi trang,2,389000,0,completed
R60O00005,2026-05-01,R60C001,Khach hang regression 001,R60P007,Cap sac nhanh,Dien tu,1,179000,0,completed
R60O00006,2026-05-01,R60C001,Khach hang regression 001,R60P001,Ao thun co ban,Thoi trang,1,159000,15000,completed
R60O00006,2026-05-01,R60C001,Khach hang regression 001,R60P002,Quan jean,Thoi trang,1,389000,0,completed
R60O00006,2026-05-01,R60C001,Khach hang regression 001,R60P007,Cap sac nhanh,Dien tu,1,179000,0,completed
R60O00007,2026-05-01,R60C001,Khach hang regression 001,R60P006,Den ban LED,Gia dung,1,329000,0,completed
R60O00008,2026-05-02,R60C002,Khach hang regression 002,R60P008,So tay planner,Van phong,1,109000,0,completed
R60O00008,2026-05-02,R60C002,Khach hang regression 002,R60P005,Tui tote,Phu kien,1,119000,0,completed
R60O00009,2026-05-02,R60C001,Khach hang regression 001,R60P008,So tay planner,Van phong,1,109000,0,completed
R60O00010,2026-05-02,R60C001,Khach hang regression 001,R60P006,Den ban LED,Gia dung,1,329000,16000,completed
R60O00011,2026-05-02,R60C002,Khach hang regression 002,R60P008,So tay planner,Van phong,1,109000,0,completed
R60O00012,2026-05-02,R60C002,Khach hang regression 002,R60P004,Tai nghe Bluetooth,Dien tu,1,549000,0,returned
R60O00013,2026-05-02,R60C002,Khach hang regression 002,R60P002,Quan jean,Thoi trang,1,389000,0,completed
R60O00014,2026-05-02,R60C001,Khach hang regression 001,R60P004,Tai nghe Bluetooth,Dien tu,1,549000,0,completed
R60O00015,2026-05-03,R60C003,Khach hang regression 003,R60P005,Tui tote,Phu kien,1,119000,0,completed
R60O00015,2026-05-03,R60C003,Khach hang regression 003,R60P008,So tay planner,Van phong,3,109000,0,completed
R60O00015,2026-05-03,R60C003,Khach hang regression 003,R60P001,Ao thun co ban,Thoi trang,1,159000,23000,completed
R60O00016,2026-05-03,R60C001,Khach hang regression 001,R60P006,Den ban LED,Gia dung,1,329000,49000,cancelled
R60O00017,2026-05-03,R60C002,Khach hang regression 002,R60P004,Tai nghe Bluetooth,Dien tu,1,549000,0,completed
R60O00017,2026-05-03,R60C002,Khach hang regression 002,R60P002,Quan jean,Thoi trang,1,389000,0,completed
R60O00018,2026-05-03,R60C003,Khach hang regression 003,R60P002,Quan jean,Thoi trang,1,389000,0,cancelled
R60O00019,2026-05-03,R60C002,Khach hang regression 002,R60P003,Binh nuoc giu nhiet,Gia dung,2,249000,0,completed
R60O00019,2026-05-03,R60C002,Khach hang regression 002,R60P004,Tai nghe Bluetooth,Dien tu,1,549000,54000,completed
R60O00020,2026-05-03,R60C001,Khach hang regression 001,R60P008,So tay planner,Van phong,2,109000,0,completed
R60O00020,2026-05-03,R60C001,Khach hang regression 001,R60P004,Tai nghe Bluetooth,Dien tu,2,549000,0,completed
R60O00021,2026-05-03,R60C002,Khach hang regression 002,R60P006,Den ban LED,Gia dung,1,329000,0,completed
R60O00022,2026-05-04,R60C004,Khach hang regression 004,R60P008,So tay planner,Van phong,1,109000,0,completed
R60O00023,2026-05-04,R60C003,Khach hang regression 003,R60P001,Ao thun co ban,Thoi trang,1,159000,0,completed
R60O00023,2026-05-04,R60C003,Khach hang regression 003,R60P002,Quan jean,Thoi trang,2,389000,38000,completed
R60O00024,2026-05-04,R60C003,Khach hang regression 003,R60P001,Ao thun co ban,Thoi trang,2,159000,15000,completed
R60O00024,2026-05-04,R60C003,Khach hang regression 003,R60P002,Quan jean,Thoi trang,1,389000,38000,completed
R60O00025,2026-05-04,R60C002,Khach hang regression 002,R60P007,Cap sac nhanh,Dien tu,1,179000,17000,completed
R60O00026,2026-05-04,R60C001,Khach hang regression 001,R60P008,So tay planner,Van phong,1,109000,0,completed
R60O00027,2026-05-05,R60C005,Khach hang regression 005,R60P006,Den ban LED,Gia dung,1,329000,49000,completed
R60O00027,2026-05-05,R60C005,Khach hang regression 005,R60P007,Cap sac nhanh,Dien tu,1,179000,0,completed
R60O00027,2026-05-05,R60C005,Khach hang regression 005,R60P005,Tui tote,Phu kien,1,119000,0,completed
R60O00028,2026-05-05,R60C005,Khach hang regression 005,R60P002,Quan jean,Thoi trang,2,389000,0,completed
R60O00029,2026-05-05,R60C003,Khach hang regression 003,R60P007,Cap sac nhanh,Dien tu,2,179000,17000,returned
R60O00030,2026-05-05,R60C002,Khach hang regression 002,R60P004,Tai nghe Bluetooth,Dien tu,1,549000,0,completed
R60O00030,2026-05-05,R60C002,Khach hang regression 002,R60P002,Quan jean,Thoi trang,1,389000,0,completed
R60O00030,2026-05-05,R60C002,Khach hang regression 002,R60P008,So tay planner,Van phong,1,109000,0,completed
R60O00031,2026-05-05,R60C003,Khach hang regression 003,R60P002,Quan jean,Thoi trang,3,389000,116000,cancelled
R60O00032,2026-05-06,R60C006,Khach hang regression 006,R60P005,Tui tote,Phu kien,1,119000,0,completed
R60O00033,2026-05-06,R60C003,Khach hang regression 003,R60P002,Quan jean,Thoi trang,1,389000,0,completed
R60O00034,2026-05-06,R60C004,Khach hang regression 004,R60P004,Tai nghe Bluetooth,Dien tu,1,549000,0,completed
